,Description,Condition,Price,Location
1650,(Santa Fe-12)All Kinds of Back Link Bar Available,Brand New,150.0,"Greater Accra, Abossey Okai"
1651,Honda Civic 2016-18 Boot Locker Available,Used,600.0,"Greater Accra, Abossey Okai"
1652,0315. Original Shock Absorber Back From USA. 342508,Brand New,,"Greater Accra, Abossey Okai"
1653,Sonata 2012 Fog Lights.,Brand New,450.0,"Greater Accra, Abossey Okai"
1654,Hard Body Head Lights,Brand New,800.0,"Greater Accra, Abossey Okai"
1655,Hyundai Sonata 2010-12 Front and Back SHOCK ABSORBERS Pair,Brand New,900.0,"Greater Accra, Abossey Okai"
1656,0349/0350. Original TRW Shock Absorber From USA. JGM9300L,Brand New,,"Greater Accra, Abossey Okai"
1657,2012-2018 Range Rover Evoque Hood Shocks Supp Cylinder,Used,,"Greater Accra, Mataheko"
1658,0409/0410. Original FCS Auto Shocks From USA. 333402,Brand New,,"Greater Accra, Abossey Okai"
1659,Rav4 2013-2017 Brand New BALL JOINTS Pair Available,Brand New,300.0,"Greater Accra, Abossey Okai"
1660,Fortified GPS/GSM Vehicle Tracker,Brand New,650.0,"Greater Accra, Accra Metropolitan"
1661,(Santa Fe-21)All Kinds of Lower Arm Available,Used,,"Greater Accra, Abossey Okai"
1662,Covic 16 LED Foglight Cover Lines,Brand New,800.0,"Greater Accra, Abossey Okai"
1663,2017 RAV4 XLE LED Head Lights,Brand New,,"Greater Accra, Madina"
1664,Ford F-150,Used,700.0,"Greater Accra, Abossey Okai"
1665,Santafe Grand,Used,,"Greater Accra, Abossey Okai"
1666,Ford Expedition Brake Pad Front And Back,Brand New,400.0,"Greater Accra, Abossey Okai"
1667,0215. Original Delphi Ball Joint From USA. TC2164,Brand New,800.0,"Greater Accra, Abossey Okai"
1668,Acura Rsx 02 /06 Head Light,Used,,"Greater Accra, Abossey Okai"
1669,Toyota Highlander 2005 Brake Pad Front,Brand New,70.0,"Greater Accra, Abossey Okai"
1670,0225. Original Control Arm Bushing From USA. TD5108W,Brand New,600.0,"Greater Accra, Abossey Okai"
1671,0501. Original CTEK Brake Pads From USA. 10211580,Brand New,450.0,"Greater Accra, Abossey Okai"
1672,Civic 2016-2021 LED Back Bumper Reflector,Brand New,800.0,"Greater Accra, Abossey Okai"
1673,Toyota Rav4 2005-2013 Complete BRAKE PORT Available,Used,700.0,"Greater Accra, Abossey Okai"
1674,(Nissan Rogue-14)All Kinds of Hub Available,Brand New,450.0,"Greater Accra, Abossey Okai"
1675,Honda Accord Fender for 2013,Brand New,500.0,"Greater Accra, Abossey Okai"
1676,(Chevrolet Spark)All Kinds of Shocks Absorber Available,Used,300.0,"Greater Accra, Abossey Okai"
1677,Honda Ridgeline 2016-2018 LOWER ARM Pair Available,Used,,"Greater Accra, Abossey Okai"
1678,Corolla 2016 Tailight,Brand New,500.0,"Greater Accra, Abossey Okai"
1679,Honda CR-V/Civic/Accord Radar Case,Brand New,400.0,"Greater Accra, Abossey Okai"
1680,Mini Cooper Back Shock Absorbers,Used,600.0,"Greater Accra, Abossey Okai"
1681,Elantra 2014 Grill,Brand New,300.0,"Greater Accra, Abossey Okai"
1682,Lexus 330 Head Light,Used,,"Greater Accra, Abossey Okai"
1683,Chevrolet Cruze Plastic Accessories,Used,100.0,"Greater Accra, Ridge"
1684,Spark 2013-2015 Tail Light,Brand New,700.0,"Greater Accra, Abossey Okai"
1685,CRV 2015 Headlight,Brand New,,"Greater Accra, Abossey Okai"
1686,Citroen Chip Keys,Brand New,30.0,"Greater Accra, Abossey Okai"
1687,Chr 2017 Back Reflector,Brand New,250.0,"Greater Accra, Abossey Okai"
1688,Ford Fusion 2014 Flip Remote Key,Brand New,500.0,"Greater Accra, Achimota"
1689,Honda Dual Pump- 1L,Brand New,180.0,"Greater Accra, Lapaz"
1690,(Kia Forte-15)All Kinds of Lower Arm Available,Used,450.0,"Greater Accra, Abossey Okai"
1691,Ford Focus 2004 Front Shock Absorbers,Used,500.0,"Greater Accra, Abossey Okai"
1692,Ford E-250 Side Mirror,Brand New,,"Greater Accra, Abossey Okai"
1693,Sianna 01 Head Light Left,Used,300.0,"Greater Accra, Abossey Okai"
1694,Honda Remote Key,Brand New,300.0,"Greater Accra, Achimota"
1695,"Quality Foreign All Weatherproof, Waterproof, Dustproof Car",Brand New,400.0,"Greater Accra, Dansoman"
1696,Holding Tanks Covers Available Please Contact Us Now For,Brand New,150.0,"Greater Accra, Dansoman"
1697,Honda Ridgeline 2016-2018 LOWER ARM Pair in Stock,Used,,"Greater Accra, Abossey Okai"
1698,Silicone Case for Nissan Remote,Brand New,20.0,"Greater Accra, Kotobabi"
1699,Ford Figo Brake Pad Front and Back,Brand New,150.0,"Greater Accra, Abossey Okai"
1700,Elantra 2012 Fender,Brand New,400.0,"Greater Accra, Abossey Okai"
1701,Honda Civic 2016-2021 Bonnet Inches,Brand New,350.0,"Greater Accra, Abossey Okai"
1702,Sanata Boot Light 2012,Used,350.0,"Greater Accra, Abossey Okai"
1703,Jeep Old Type Front and Back Shock Absorbers,Used,,"Greater Accra, Abossey Okai"
1704,Universal Carpet Set,Brand New,300.0,"Greater Accra, Abossey Okai"
1705,Original Tie Rod Rack From USA. Ford,Brand New,80.0,"Greater Accra, Abossey Okai"
1706,MK385305 - Fuso – Brake Shoe FK,Brand New,760.0,"Greater Accra, Accra Metropolitan"
1707,Motorbike Car Smallest GPS Tracker 900,Brand New,350.0,"Greater Accra, Ashaiman Municipal"
1708,0850. Original Ultra Power Tie Rod Ends From USA. EV800884,Brand New,600.0,"Greater Accra, Abossey Okai"
1709,CRV 2015 Fog Light,Brand New,400.0,"Greater Accra, Abossey Okai"
1710,Chevrolet Spark Dashboard Volume and AC Controls,Used,350.0,"Greater Accra, Spintex"
1711,LX 570 2020 Headlights,Brand New,,"Greater Accra, Abossey Okai"
1712,Nissan Civilian Brake Pads Fronts And Back,Brand New,200.0,"Greater Accra, Abossey Okai"
1713,Sportage 2O17 Headlight,Brand New,,"Greater Accra, Abossey Okai"
1714,Lexus GS 350 Front and Back Shocks,Used,,"Greater Accra, Abossey Okai"
1715,Lexus Gs 350 Tail Light RH,Used,800.0,"Greater Accra, Abossey Okai"
1716,0004. Original Acdelco 41-101 From Usa,Brand New,600.0,"Greater Accra, Abossey Okai"
1717,Sentra 2019 Tail Light Inner,Brand New,,"Greater Accra, Abossey Okai"
1718,Import Waterproof Covers All,Brand New,350.0,"Greater Accra, Dansoman"
1719,Hyundai Santa Fe 2018 Side Mirror With Light and Blind Spot,Used,,"Greater Accra, Abossey Okai"
1720,Santafe 2013-2017 Back Shocks,Brand New,500.0,"Greater Accra, Abossey Okai"
1721,Santafe Fog Light Available,Brand New,,"Greater Accra, Abossey Okai"
1722,(Nissan Sentra-04)All Kinds of Driving Mirror Available,Used,450.0,"Greater Accra, Abossey Okai"
1723,Leather Case for Lexus Smart Key Fob,Brand New,80.0,"Greater Accra, Kotobabi"
1724,LED Forglight Cover,Brand New,850.0,"Greater Accra, Darkuman"
1725,Honda Accord Break Cylinder Boaster and Break Pots,Used,,"Greater Accra, Abossey Okai"
1726,Santafe 2013 Fog Light LED,Brand New,700.0,"Greater Accra, Abossey Okai"
1727,Lexus RX 350 Side Mirror,Brand New,,"Greater Accra, Abossey Okai"
1728,(Hyundai Sonata-12)All Kinds of Driving Shaft Available,Used,300.0,"Greater Accra, Abossey Okai"
1729,We Import Pure Quality All Weatherproof Car Covers Callus,Brand New,420.0,"Greater Accra, Dansoman"
1730,Renault Smart Remote Keys,Brand New,600.0,"Greater Accra, Abossey Okai"
1731,Elantra 2008 Chocks,Used,600.0,"Greater Accra, Abossey Okai"
1732,Honda Accord Side Mirro With Sensor Available,Brand New,,"Greater Accra, Abossey Okai"
1733,Santafe 2013 Front Grille,Brand New,400.0,"Greater Accra, Abossey Okai"
1734,0385. Original Front Shock Absorber From USA. G52351,Brand New,,"Greater Accra, Abossey Okai"
1735,(Rav4-19/20)All Kinds of Back Boot Rubbers Available,Used,800.0,"Greater Accra, Abossey Okai"
1736,0423. Original FCS Shock Absorber From USA. 346367,Brand New,,"Greater Accra, Abossey Okai"
1737,Home Used High Quality Front SHOCK ABSORBERS Pair Available,Used,600.0,"Greater Accra, Abossey Okai"
1738,Chevolet Cruze Foglight,Brand New,300.0,"Greater Accra, Abossey Okai"
1739,Hub Bearings for All Cars,Brand New,200.0,"Greater Accra, Abossey Okai"
1740,Isuzu Dmax Original Front and Rear Shocks,Brand New,,"Greater Accra, Accra Metropolitan"
1741,Lexus LS 460 Head Light 09 RH,Used,,"Greater Accra, Abossey Okai"
1742,Tundra Tires,Used,700.0,"Greater Accra, Abossey Okai"
1743,Nissan Almada Shocks Frpnt and Back,Brand New,,"Greater Accra, Abossey Okai"
1744,Original Pure Leather Car Seats Covers for All Cars Availabl,Brand New,500.0,"Greater Accra, Dansoman"
1745,Sonata 11-13 Led Tail Boot Light,Brand New,,"Greater Accra, Abossey Okai"
1746,LEXUS RS350 2019 Tail Light and Headlight,Used,,"Greater Accra, Abossey Okai"
1747,(Navara)All Kinds of Reservoir Tank Available,Used,350.0,"Greater Accra, Abossey Okai"
1748,Jeep Cherookee Back Shock Absorbers,Used,600.0,"Greater Accra, Abossey Okai"
1749,Mazda Chip Keys,Brand New,30.0,"Greater Accra, Abossey Okai"
1750,Lexus Front Shock Absorbers,Used,,"Greater Accra, Abossey Okai"
1751,Cruze and Spark Jack and Holder,Used,450.0,"Greater Accra, Ridge"
1752,Chevrolet Cruze Head Lights,Used,,"Greater Accra, Ridge"
1753,Kia Forte Keys,Brand New,400.0,"Greater Accra, Abossey Okai"
1754,F150 Shock Absorber,Brand New,700.0,"Greater Accra, Abossey Okai"
1755,0859. Original Ultra Power Tie Rod Ends From USA. DS300003,Brand New,,"Greater Accra, Abossey Okai"
1756,Honda Accord 2018 Radiator,Brand New,900.0,"Greater Accra, Abossey Okai"
1757,Honda CRV 2017 — 2021 Steering Racks,Used,,"Greater Accra, Abossey Okai"
1758,Latest Vehicle Tracking Devices,Brand New,650.0,"Greater Accra, Accra Metropolitan"
1759,GPS Reliable Uber Tracking Device,Brand New,650.0,"Greater Accra, Accra Metropolitan"
1760,Civic 2016-2021 Reservoir Tank,Brand New,400.0,"Greater Accra, Abossey Okai"
1761,Elantra 2016-2019 Quality Home Used STEERING RACK Available,Used,,"Greater Accra, Abossey Okai"
1762,Lexus Tail Light,Used,,"Greater Accra, Abossey Okai"
1763,(Land Cruiser Prado-12)All Kinds of Ball Joint Available,Brand New,300.0,"Greater Accra, Abossey Okai"
1764,Dodge Dart 2014 Back Shock Absorbers,Used,,"Greater Accra, Abossey Okai"
1765,Original Master Cylinder or Brake Pot From USA. M631032,Brand New,,"Greater Accra, Abossey Okai"
1766,"All Weatherproof, Sunproof, Dustproof, Waterproof Call Us",Brand New,470.0,"Greater Accra, Dansoman"
1767,(Chevrolet Equinox-10)All Kinds of Lower Arm Available,Brand New,200.0,"Greater Accra, Abossey Okai"
1768,Ford Escape 2011-2012 Side Mirror,Brand New,600.0,"Greater Accra, Abossey Okai"
1769,Toyota Sienna Shock Absorber Front and Back,Brand New,800.0,"Greater Accra, Abossey Okai"
1770,Tucson 2017 Head Light,Brand New,,"Greater Accra, Abossey Okai"
1771,GPS Trackers,Brand New,650.0,"Greater Accra, Accra Metropolitan"
1772,Hyundai Elentra 2012 Fenders and All Parts Available,Used,900.0,"Greater Accra, Abossey Okai"
1773,Elantra 14-16 Headlight,Brand New,,"Greater Accra, Abossey Okai"
1774,Santafe 2013 Airbag Cover,Brand New,350.0,"Greater Accra, Abossey Okai"
1775,Kia/Hyundai/Nissan/Toyota/Honda/ Front Brake Disc in Stock,Brand New,700.0,"Greater Accra, Abossey Okai"
1776,(Chevrolet Malibu-16)All Kinds Of Link Bar Available,Brand New,150.0,"Greater Accra, Abossey Okai"
1777,2011 - 2016 Elantra Side Mirror Outer Varnish,Used,400.0,"Greater Accra, Tema Metropolitan"
1778,0406. Original FCS Shocks From USA. 345831,Brand New,,"Greater Accra, Abossey Okai"
1779,Real Time Tracker For Vehicles,Brand New,650.0,"Greater Accra, Accra Metropolitan"
1780,Elantra 2014 Mirror,Brand New,400.0,"Greater Accra, Abossey Okai"
1781,Accord 2019 Fog Light Cover,Brand New,700.0,"Greater Accra, Abossey Okai"
1782,Honda CRV 2012 - 2014 Headlight Pair,Used,,"Greater Accra, Awoshie"
1783,0606/0607. Original Control Arm From USA. 621752,Brand New,,"Greater Accra, Abossey Okai"
1784,GPS Tracker Cars/Motors All,Brand New,450.0,"Greater Accra, Ashaiman Municipal"
1785,Cruze 2009 Fog Cover LED,Brand New,500.0,"Greater Accra, Abossey Okai"
1786,(Corolla 2015)All Kinds Of Doors Bonnet And Boot Available,Used,,"Greater Accra, Abossey Okai"
1787,Civic 2017 LED Taillights,Brand New,,"Greater Accra, Abossey Okai"
1788,Nissan Sentra Brake Pad Front and Back,Brand New,200.0,"Greater Accra, Abossey Okai"
1789,(Kia Sportage-12)All Kinds of Back Arm Available,Used,450.0,"Greater Accra, Abossey Okai"
1790,Hyundai Sonata/Elantra Front SHOCK ABSORBERS Pair Available,Used,700.0,"Greater Accra, Abossey Okai"
1791,Upper Arm for Range Rover Sports and Vogue,Used,,"Greater Accra, Abossey Okai"
1792,Elantra 2014 Tail Light,Brand New,400.0,"Greater Accra, Abossey Okai"
1793,Civic 2016 Arrow Reflectors,Brand New,600.0,"Greater Accra, Abossey Okai"
1794,Bosch Battery - Free Delivery,Brand New,600.0,"Greater Accra, Ashaley Botwe"
1795,Vehicle Tracker for Sale,Brand New,606.0,"Greater Accra, Kwashieman"
1796,GPS Monitoring Device,Brand New,606.0,"Greater Accra, Kwashieman"
1797,Equinox 2017 Grille,Brand New,800.0,"Greater Accra, Abossey Okai"
1798,(Civic-16)All Kinds of Fender Doors and Bonnets Available,Brand New,950.0,"Greater Accra, Abossey Okai"
1799,Genuine Tie Rod End Prada,Brand New,250.0,"Greater Accra, Abossey Okai"
1800,0641. Original Bosch ABS Sensor From USA,Brand New,450.0,"Greater Accra, Abossey Okai"
1801,Toyota CHR Fog Light LED,Brand New,,"Greater Accra, Abossey Okai"
1802,"CHR Front Bumper Top, 2018-2020",Used,700.0,"Greater Accra, Awoshie"
1803,Sportage 2011 Down Grille,Brand New,300.0,"Greater Accra, Abossey Okai"
1804,Car Towing Support Available,Brand New,400.0,"Greater Accra, Abossey Okai"
1805,Honda Accord 18 Left Side Led,Used,,"Greater Accra, Abossey Okai"
1806,0527. Original Brake Pad From USA. 10215220,Brand New,550.0,"Greater Accra, Abossey Okai"
1807,(Benz C300 4matic-16)All Kinds of Side Mirror Available,Brand New,,"Greater Accra, Abossey Okai"
1808,(Honda Accord-20) All Kinds of Head and Tail Light Available,Brand New,,"Greater Accra, Abossey Okai"
1809,Car Android Player Toyato Land Cruises,Brand New,,"Greater Accra, Abossey Okai"
1810,(Chevrolet Malibu-16)All Kinds Of Link Bar Available,Brand New,150.0,"Greater Accra, Abossey Okai"
1811,2011 - 2016 Elantra Side Mirror Outer Varnish,Used,400.0,"Greater Accra, Tema Metropolitan"
1812,JJC Track Lighting,Brand New,800.0,"Greater Accra, Oyarifa"
1813,0831. Original Tie Rod Ends From USA. SE800955,Brand New,900.0,"Greater Accra, Abossey Okai"
1814,"Specialist :Toyota , Nissan , Hyundai Specialist",Brand New,300.0,"Greater Accra, Mataheko"
1815,Honda Ridgeline 2006-2014 LOWER ARM Pair Available,Used,,"Greater Accra, Abossey Okai"
1816,Smooth and High Quality Sea Blue Material Is Available Call,Brand New,170.0,"Greater Accra, Dansoman"
1817,Air Filter for All Cars,Brand New,100.0,"Greater Accra, Abossey Okai"
1818,We Have All Weatherproof Foreign Cover And Umbrella Material,Brand New,240.0,"Greater Accra, Dansoman"
1819,Ford Focus 2012 Tail Light One.,Used,450.0,"Greater Accra, Abossey Okai"
1820,Brake Pad (Bosch-Be1324h) [FRONT],Brand New,300.0,"Greater Accra, East Legon"
1821,Tucson 2019 Tail Light,Brand New,,"Greater Accra, Abossey Okai"
1822,Sonata 2016 Head Light,Brand New,,"Greater Accra, Abossey Okai"
1823,Tail Light for SM5 Left Side LED,Used,600.0,"Greater Accra, Abossey Okai"
1824,Corolla 2003 Front and Back Shocks Available,Brand New,600.0,"Greater Accra, Abossey Okai"
1825,Toyota Landcruiser Brake Pad Front and Back,Brand New,200.0,"Greater Accra, Abossey Okai"
1826,Hyundai Santa Fe 2010-12 Front SHOCK ABSORBER Pair in Stock,Brand New,800.0,"Greater Accra, Abossey Okai"
1827,UMBRELLA Material or Taffentae Material High Quality Materia,Brand New,290.0,"Greater Accra, Dansoman"
1828,(Kia Optima-12/15)All Kinds Wiper Panel Available,Brand New,300.0,"Greater Accra, Abossey Okai"
1829,Honda CR-V 2015,Used,,"Greater Accra, Abossey Okai"
1830,Elantra 16-17 LED Fog Light,Brand New,,"Greater Accra, Abossey Okai"
1831,Civic 16+ Carpet,Brand New,300.0,"Greater Accra, Abossey Okai"
1832,(Toyota Fortune-16)All Kinds of Grille Available,Brand New,,"Greater Accra, Abossey Okai"
1833,GPS Location Tracking,Brand New,500.0,"Greater Accra, Tema Metropolitan"
1834,Honda HRV Taillights Pair,Brand New,,"Greater Accra, Abossey Okai"
1835,Back Brake Disc for All Cars Toyota/Honda/Hyundai/Nissan/Kia,Brand New,700.0,"Greater Accra, Abossey Okai"
1836,CRV 2015 Back Bumper Garnish (All Types of Bumpers),Brand New,500.0,"Greater Accra, Abossey Okai"
1837,Pure Leather Seats Covers for All Cars Please Contact Us Now,Brand New,700.0,"Greater Accra, Dansoman"
1838,Battery-Powered Warning Light/Caution Light/Amber Light,Brand New,60.0,"Greater Accra, East Legon"
1839,Honda Civic 2016-2019 Front Shock Absorbers Pair for Sale,Used,,"Greater Accra, Abossey Okai"
1840,Range Rover Evoke 2015/16 Front BRAKE PAD Available,Brand New,900.0,"Greater Accra, Abossey Okai"
1841,Ford Rande Side Mirror,Brand New,,"Greater Accra, Abossey Okai"
1842,Sportage 2011- 2013 Boot Light,Brand New,500.0,"Greater Accra, Abossey Okai"
1843,Side Mirrors for Ford Edge 2015-2019.,Brand New,,"Greater Accra, Abossey Okai"
1844,Civic Floor Mat Available,Brand New,300.0,"Greater Accra, Abossey Okai"
1845,Car Charger Fan,Brand New,210.0,"Greater Accra, Accra Metropolitan"
1846,Chevrolet Spark Brake Paddle,Used,450.0,"Greater Accra, Ridge"
1847,Elantra 2016 Head Light Led,Brand New,,"Greater Accra, Abossey Okai"
1848,Elantra 2016 - 2018 Diffuser,Brand New,500.0,"Greater Accra, Abossey Okai"
1849,0708. Original Control Arm Bushing From USA.,Brand New,600.0,"Greater Accra, Abossey Okai"
1850,Accord 2019 Taillights,Brand New,,"Greater Accra, Abossey Okai"
1851,Toyota Rav4 2006-12 Lower Arm Pair Available,Used,700.0,"Greater Accra, Abossey Okai"
1852,1.Dust Absorption ,,170.0,"Greater Accra, Accra Metropolitan"
1853,,,,
1854,,,,
1855,,,,
1856,Camry 2014 Tail Pair,Brand New,600.0,"Greater Accra, Abossey Okai"
1857,CRV 2013 Front Grille,Brand New,600.0,"Greater Accra, Abossey Okai"
1858,Ford Edge 2008 Ac Condenser,Brand New,400.0,"Greater Accra, Abossey Okai"
1859,2014-2020 Range Rover Sport/Vogue Small Lowers Arms,Brand New,,"Greater Accra, Mataheko"
1860,Foreign Waterproof For V8 And All 4x4 Cars Please Contact Us,Brand New,320.0,"Greater Accra, Dansoman"
1861,(RAV4-13)All Kinds of Back Link Available,Brand New,200.0,"Greater Accra, Abossey Okai"
1862,0793. Original SKP Ball Joint From USA. SK80811,Brand New,800.0,"Greater Accra, Abossey Okai"
1863,Brand New LINK BAR for All Cars for Sale,Brand New,200.0,"Greater Accra, Abossey Okai"
1864,(Honda Civic-08)All Kinds of Driving Shaft Available,Used,400.0,"Greater Accra, Abossey Okai"
1865,0297. Ultra Power Strut Absorber From USA. 72546,Brand New,,"Greater Accra, Abossey Okai"
1866,Fuel Filter For All Cars Available,Brand New,200.0,"Greater Accra, Abossey Okai"
1867,"V8 Land Cruiser All Weatherproof, Waterproof, Dustproof",Brand New,380.0,"Greater Accra, Dansoman"
1868,Santafe 2013 Front Grille,Brand New,400.0,"Greater Accra, Abossey Okai"
1869,Sensors Sensors,Brand New,250.0,"Greater Accra, Abossey Okai"
1870,Original Powerbeats Pro Bluetooth Quality Ones Available,Brand New,,"Greater Accra, Dansoman"
1871,Hyundai Porter Brake Pad,Brand New,200.0,"Greater Accra, Abossey Okai"
1872,0545. Original Brake Pad From USA. FVC/ZD799,Brand New,450.0,"Greater Accra, Abossey Okai"
1873,Toyota RAV4 Front Brake Pad,Brand New,259.0,"Greater Accra, Abossey Okai"
1874,Original ABS Sensors From USA. 2ABS2862,Brand New,450.0,"Greater Accra, Abossey Okai"
1875,Sonata 11-14 Headlights,Brand New,,"Greater Accra, Abossey Okai"
1876,0319. Original FCS Shock Absorber From USA. DT346207,Brand New,,"Greater Accra, Abossey Okai"
1877,Foreign All Weatherproof Sunproof Dustproof Waterproof,Brand New,450.0,"Greater Accra, Dansoman"
1878,Santafe 2007 Back Shocks Pair,Brand New,450.0,"Greater Accra, Abossey Okai"
1879,Elantra 2014 Tail Light,Brand New,400.0,"Greater Accra, Abossey Okai"
1880,0237/0364. Original Ultra Power Shock Absorbers From USA.,Brand New,,"Greater Accra, Abossey Okai"
1881,Dry/Wet Car Vacuum Cleaner,Brand New,260.0,"Greater Accra, Spintex"
1882,Original PRT Brake Disc / Rotors From USA. PRT6280,Brand New,,"Greater Accra, Abossey Okai"
